"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Afghanistan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",522.3140
"Albania","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2827.0190
"Algeria","Total Renewable","Electricity Installed Capacity (MW)","All","2024",600.7000
"American Samoa","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7.1100
"Andorra","Total Renewable","Electricity Installed Capacity (MW)","All","2024",59.7270
"Angola","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4142.1690
"Anguilla","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1.5420
"Antigua and Barbuda","Total Renewable","Electricity Installed Capacity (MW)","All","2024",15.5840
"Argentina","Total Renewable","Electricity Installed Capacity (MW)","All","2024",15636.8290
"Armenia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1839.3000
"Aruba","Total Renewable","Electricity Installed Capacity (MW)","All","2024",45.8040
"Australia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",63509.8400
"Austria","Total Renewable","Electricity Installed Capacity (MW)","All","2024",28863.6670
"Azerbaijan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1800.9000
"Bahamas (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",23.5600
"Bahrain","Total Renewable","Electricity Installed Capacity (MW)","All","2024",68.7030
"Bangladesh","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1124.2990
"Barbados","Total Renewable","Electricity Installed Capacity (MW)","All","2024",70.5020
"Belarus","Total Renewable","Electricity Installed Capacity (MW)","All","2024",614.0000
"Belgium","Total Renewable","Electricity Installed Capacity (MW)","All","2024",16274.5100
"Belize","Total Renewable","Electricity Installed Capacity (MW)","All","2024",97.6290
"Benin","Total Renewable","Electricity Installed Capacity (MW)","All","2024",35.7580
"Bhutan","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2456.3050
"Bolivia (Plurinational State of)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1297.6100
"Bonaire, Sint Eustatius and Saba","Total Renewable","Electricity Installed Capacity (MW)","All","2024",24.2050
"Bosnia and Herzegovina","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2309.5800
"Botswana","Total Renewable","Electricity Installed Capacity (MW)","All","2024",10.3000
"Brazil","Total Renewable","Electricity Installed Capacity (MW)","All","2024",213856.7260
"British Virgin Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3.3270
"Brunei Darussalam","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5.1990
"Bulgaria","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7177.4060
"Burkina Faso","Total Renewable","Electricity Installed Capacity (MW)","All","2024",240.5420
"Burundi","Total Renewable","Electricity Installed Capacity (MW)","All","2024",76.8110
"Cabo Verde","Total Renewable","Electricity Installed Capacity (MW)","All","2024",57.8430
"Cambodia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2287.7390
"Cameroon","Total Renewable","Electricity Installed Capacity (MW)","All","2024",876.6480
"Canada","Total Renewable","Electricity Installed Capacity (MW)","All","2024",110470.1850
"Cayman Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",14.9000
"Central African Republic (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",59.2730
"Chad","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4.8400
"Chile","Total Renewable","Electricity Installed Capacity (MW)","All","2024",23974.5580
"China","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1827270.0100
"China, Hong Kong Special Administrative Region","Total Renewable","Electricity Installed Capacity (MW)","All","2024",392.7630
"Chinese Taipei","Total Renewable","Electricity Installed Capacity (MW)","All","2024",20719.0890
"Colombia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",15038.8280
"Comoros (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4.5180
"Congo (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",226.8430
"Cook Islands (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5.5700
"Costa Rica","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3171.2750
"Côte d'Ivoire","Total Renewable","Electricity Installed Capacity (MW)","All","2024",919.0760
"Croatia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",4403.3680
"Cuba","Total Renewable","Electricity Installed Capacity (MW)","All","2024",816.3780
"Curaçao","Total Renewable","Electricity Installed Capacity (MW)","All","2024",84.1110
"Cyprus","Total Renewable","Electricity Installed Capacity (MW)","All","2024",894.9640
"Czechia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",6453.4440
"Democratic People's Republic of Korea (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5054.8370
"Democratic Republic of the Congo (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3216.3500
"Denmark","Total Renewable","Electricity Installed Capacity (MW)","All","2024",13539.0970
"Djibouti","Total Renewable","Electricity Installed Capacity (MW)","All","2024",80.3620
"Dominica","Total Renewable","Electricity Installed Capacity (MW)","All","2024",8.1560
"Dominican Republic (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2563.8370
"Ecuador","Total Renewable","Electricity Installed Capacity (MW)","All","2024",5481.4690
"Egypt","Total Renewable","Electricity Installed Capacity (MW)","All","2024",7752.2800
"El Salvador","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1858.0090
"Equatorial Guinea","Total Renewable","Electricity Installed Capacity (MW)","All","2024",127.1460
"Eritrea","Total Renewable","Electricity Installed Capacity (MW)","All","2024",25.6100
"Estonia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2204.0000
"Eswatini","Total Renewable","Electricity Installed Capacity (MW)","All","2024",178.3750
"Ethiopia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",6345.4390
"Falkland Islands (Malvinas)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3.3920
"Faroe Islands","Total Renewable","Electricity Installed Capacity (MW)","All","2024",109.4410
"Fiji","Total Renewable","Electricity Installed Capacity (MW)","All","2024",225.8660
"Finland","Total Renewable","Electricity Installed Capacity (MW)","All","2024",15903.2060
"France","Total Renewable","Electricity Installed Capacity (MW)","All","2024",74339.6820
"French Guiana","Total Renewable","Electricity Installed Capacity (MW)","All","2024",192.3020
"French Polynesia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",122.0200
"Gabon","Total Renewable","Electricity Installed Capacity (MW)","All","2024",343.3200
"Gambia (the)","Total Renewable","Electricity Installed Capacity (MW)","All","2024",25.9440
"Georgia","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3567.7970
"Germany","Total Renewable","Electricity Installed Capacity (MW)","All","2024",178654.5000
"Ghana","Total Renewable","Electricity Installed Capacity (MW)","All","2024",1780.4660
"Greece","Total Renewable","Electricity Installed Capacity (MW)","All","2024",18231.0830
"Greenland","Total Renewable","Electricity Installed Capacity (MW)","All","2024",93.0600
"Grenada","Total Renewable","Electricity Installed Capacity (MW)","All","2024",3.8600
"Guadeloupe","Total Renewable","Electricity Installed Capacity (MW)","All","2024",228.3050
"Guam","Total Renewable","Electricity Installed Capacity (MW)","All","2024",105.0720
"Guatemala","Total Renewable","Electricity Installed Capacity (MW)","All","2024",2703.6260
"Guinea","Total Renewable","Electricity Installed Capacity (MW)","All","2024",831.0960
